shipment_id,customer_name,origin_city,destination_city,service_type,weight_kg,shipment_date,delivery_date,cost_inr,status
SHP00001,CryoViva India,Chandigarh,Gurugram,HC GOLD,6.5,2026-02-05,2026-02-12,718.95,Delayed
SHP00002,CryoViva India,Kolkata,Delhi,NFO,6.2,2026-06-04,2026-06-08,568.64,Delayed
SHP00003,Suraksha Diagnostics,Lucknow,Pune,NFO,14.94,2026-01-02,2026-01-09,1250.93,Delayed
SHP00004,Healthians,Noida,Bengaluru,NFO,9.81,2026-04-02,2026-04-09,918.72,Delayed
SHP00005,Pathkind Labs,Lucknow,Hyderabad,NFO,23.1,2026-01-21,2026-01-26,2070.77,Delivered
SHP00006,Redcliffe Labs,Chennai,Chandigarh,HC GOLD,1.62,2026-02-28,2026-03-03,217.07,Delivered
SHP00007,Oncquest Labs,Kolkata,Bengaluru,HC GOLD,9.44,2026-04-05,2026-04-08,1218.28,Delivered
SHP00008,Tata 1mg,Chandigarh,Lucknow,HC GOLD,4.69,2026-03-04,2026-03-06,645.75,Delivered
SHP00009,Redcliffe Labs,Chandigarh,Pune,HC GOLD,21.15,2026-01-15,,2304.57,In Transit
SHP00010,Metropolis Healthcare,Chennai,Hyderabad,NFO,22.87,2026-05-26,2026-05-29,1941.83,Delivered
SHP00011,CORE Diagnostics,Chandigarh,Hyderabad,NFO,6.54,2026-05-24,2026-05-29,559.85,Delivered
SHP00012,Healthians,Ahmedabad,Kolkata,NFO,24.94,2026-05-11,2026-05-15,2364.27,Delivered
SHP00013,CORE Diagnostics,Noida,Lucknow,HC GOLD,10.84,2026-01-17,2026-01-21,1322.93,Delivered
SHP00014,CryoViva India,Bengaluru,Ahmedabad,HC GOLD,3.31,2026-05-18,,421.13,In Transit
SHP00015,Suraksha Diagnostics,Gurugram,Chennai,NFO,0.58,2026-03-09,,46.57,In Transit
SHP00016,Metropolis Healthcare,Gurugram,Lucknow,HC SILVER,12.94,2026-02-20,2026-02-22,1272.13,Delivered
SHP00017,Dr Lal PathLabs,Pune,Delhi,NFO,0.98,2026-04-03,2026-04-09,94.69,Delivered
SHP00018,Tata 1mg,Gurugram,Pune,HC SILVER,13.55,2026-02-02,2026-02-09,1463.23,Delayed
SHP00019,Pathkind Labs,Noida,Chennai,HC SILVER,10.87,2026-02-24,,1117.83,In Transit
SHP00020,Suraksha Diagnostics,Mumbai,Chennai,HC SILVER,16.42,2026-04-23,2026-04-29,1428.88,Delivered
SHP00021,Pathkind Labs,Delhi,Chandigarh,NFO,5.9,2026-01-19,2026-01-21,559.13,Delivered
SHP00022,Redcliffe Labs,Gurugram,Ahmedabad,NFO,12.39,2026-05-19,2026-05-27,1099.54,Delayed
SHP00023,Suraksha Diagnostics,Mumbai,Pune,NFO,2.87,2026-04-21,2026-04-24,272.24,Delivered
SHP00024,Tata 1mg,Delhi,Lucknow,NFO,18.34,2026-01-28,2026-02-01,1457.64,Delivered
SHP00025,Oncquest Labs,Noida,Chennai,NFO,23.12,2026-04-24,2026-05-02,2179.42,Delivered
SHP00026,CORE Diagnostics,Gurugram,Bengaluru,NFO,12.29,2026-04-13,2026-04-14,1197.51,Delivered
SHP00027,Metropolis Healthcare,Bengaluru,Pune,NFO,23.95,2026-05-23,2026-05-28,2325.19,Delivered
SHP00028,CryoViva India,Ahmedabad,Pune,HC GOLD,1.9,2026-05-30,2026-06-09,214.17,Delayed
